,Date,Time,hashtags,tagged_usernames,Text,tokens,data
819,2020-05-20,01:31:00,"['#india\\n#china\\n#swadeshi\\ncorrupt', '#bjp']",[],"['india', 'china', 'swadeshi', 'corrupt', 'politicians', 'india', 'chinese', 'import', 'lobby', 'funds', 'bjp', 'buffoons']","['india', 'china', 'swadeshi', 'corrupt', 'politicians', 'india', 'chinese', 'import', 'lobby', 'funds', 'bjp', 'buffoons']",india china swadeshi corrupt politicians of india  chinese import lobby funds bjp  buffoons by
820,2020-05-20,01:31:00,[],"['@iyer_rn', '@rvaidya2000', '@sgurumurthy', '@kanimozhi', '@girishalva', '@prafullaketkar', '@prof_hariom', '@ranganaathan', '@jspandey_\\xe2\\x80\\xa6']",[],[],
821,2020-05-20,01:28:00,['#bjp'],['@babitaphogat'],"['atleast', 'organised', 'mode', 'travel', 'migrants', 'bjp', 'power', 'done', 'nothing']","['atleast', 'organised', 'mode', 'travel', 'migrants', 'bjp', 'power', 'done', 'nothing']",atleast they organised some mode of travel for the migrants but bjp being in power has done nothing
822,2020-05-20,01:26:00,"['#priyankagandhivadra', '#yogiadityanath', '#congress.']",['@the_hindu:'],"['|', 'priyankagandhivadra', 'urged', 'yogiadityanath', 'reject', 'buses', 'sent', 'congress', '.', 'even', 'said', 'party']","['|', 'priyankagandhivadra', 'urged', 'yogiadityanath', 'reject', 'buses', 'sent', 'congress', '.', 'even', 'said', 'party']",just in  priyankagandhivadra urged yogiadityanath to not reject the buses sent by the congress she even said her party
823,2020-05-20,01:25:00,['#bjp'],"['@ctravi_bjp', '@priyankagandhi', '@myogiadityanath']","['present', 'ruling', 'bjp', 'made', 'country', 'suffer', '.bringing', 'infected']","['present', 'ruling', 'bjp', 'made', 'country', 'suffer', '.bringing', 'infected']",the present ruling bjp made country suffer more bringing in infected
824,2020-05-20,01:23:00,"['#prashantkishore', '#narendramodi', '#bjp\\nthanks']","['@shahnawazkhanmm:', '@thewire_\\xe2\\x80\\xa6""']","['prashantkishore', 'narendramodi', 'bjp', 'thanks', 'centres', 'corona', 'mismanagement', 'staring', 'catastrophe']","['prashantkishore', 'narendramodi', 'bjp', 'thanks', 'centres', 'corona', 'mismanagement', 'staring', 'catastrophe']",prashantkishore narendramodi bjp thanks to centres corona mismanagement we are staring at a catastrophe
825,2020-05-20,01:15:00,['#migrantlabourers'],"['@npeeinghuman', '@aamaadmiparty']","['ok.', 'nothing', '!', 'jo', 'migrantlabourers', 'gayee', 'hain', 'also', 'buy', 'tic']","['ok.', 'nothing', '!', 'jo', 'migrantlabourers', 'gayee', 'hain', 'also', 'buy', 'tic']",ok so have nothing to do with this jo migrantlabourers gayee hain they also buy tic
826,2020-05-20,01:15:00,['#bjp'],['@dayanidhi_maran:'],"['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']","['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']",misogyny amp a track record of disrespecting women have become the trademark of bjp both online amp offline its now rea
827,2020-05-20,01:14:00,"['#congressplenarysession', '#bjp', '#modi']",['@jaiveershergill:'],"['clip', 'speech', 'congressplenarysession', 'bjp', 'modi', 'govt', 'killed', 'indian', 'economy', 'acche', 'din', 'aane', 'w']","['clip', 'speech', 'congressplenarysession', 'bjp', 'modi', 'govt', 'killed', 'indian', 'economy', 'acche', 'din', 'aane', 'w']",clip from my speech at the congressplenarysession how bjp modi govt has killed the indian economy acche din aane w
828,2020-05-20,01:04:00,"['#bjp', '#goindia', '#pmoindia', '#failedindia', '#indiafightcorona', '#lockdownindiadisaster\\n\\nthe']",[],"['bjp', 'goindia', 'pmoindia', 'trio', 'failedindia', 'indiafightcorona', 'lockdownindiadisaster', 'sooner', 'ad']","['bjp', 'goindia', 'pmoindia', 'trio', 'failedindia', 'indiafightcorona', 'lockdownindiadisaster', 'sooner', 'ad']",bjp goindia pmoindia trio has failedindia through indiafightcorona lockdownindiadisaster  the sooner they ad
829,2020-05-20,01:01:00,"[""#hinduph\\xe2\\x80\\xa6'""]","['@rameshs0007:', '@ayeshaasgar4', '@aranganathan72']","['absolutely', '.', 'nailed', '.', 'planned', 'conspiracy', 'psudeo', 'indians', 'religious', 'divide', '.', 'hinduph']","['absolutely', '.', 'nailed', '.', 'planned', 'conspiracy', 'psudeo', 'indians', 'religious', 'divide', '.', 'hinduph']",absolutely  nailed it a planned conspiracy by psudeo indians on religious divide hinduph
830,2020-05-20,01:00:00,"['#bjp4india', '#bjp', '#amitshah', '#narendramodi', '#indiafightscorona', '#coronaupdatesindia\\xe2\\x80\\xa6']",[],"['india', 'international', 'community', '.', 'bjp4india', 'bjp', 'amitshah', 'narendramodi', 'indiafightscorona', 'coronaupdatesindia']","['india', 'international', 'community', '.', 'bjp4india', 'bjp', 'amitshah', 'narendramodi', 'indiafightscorona', 'coronaupdatesindia']",india with international community  bjpindia bjp amitshah narendramodi indiafightscorona coronaupdatesindia
831,2020-05-20,00:57:00,['#bjp'],['@dayanidhi_maran:'],"['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']","['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']",misogyny amp a track record of disrespecting women have become the trademark of bjp both online amp offline its now rea
832,2020-05-20,00:47:00,['#hindutva'],"['@shahjhan_malikk:', '@mjalshrika', '@icj_icj']","['world', 'community', 'started', 'breaking', 'silent', 'hindutva', 'extremists', 'violent', 'regime', '.', 'ban']","['world', 'community', 'started', 'breaking', 'silent', 'hindutva', 'extremists', 'violent', 'regime', '.', 'ban']",the world community has started breaking the silent over hindutva extremists violent regime ban
833,2020-05-20,00:43:00,"['#congress', '#aap', '#rt', '#bjp', '#goa', '#manipur']",[],"['congress', 'aap', 'rt', 'sexes', 'empowering', 'sitebjp', 'lost', 'goa', '&', 'amp', ';', 'manipur']","['congress', 'aap', 'rt', 'sexes', 'empowering', 'sitebjp', 'lost', 'goa', '&', 'amp', ';', 'manipur']",congress aap rt both sexes empowering sitebjp won in up but lost in goa amp manipur how
834,2020-05-20,00:40:00,"['#bjp', '#pankajpunia']",['@bipuldash3:'],"['bjp', 'remains', 'silent', 'tweet', 'pankajpunia', 'great', 'blunder', '.', 'motivate', 'anti', 'hindus', 'comm']","['bjp', 'remains', 'silent', 'tweet', 'pankajpunia', 'great', 'blunder', '.', 'motivate', 'anti', 'hindus', 'comm']",if bjp remains silent on the tweet of pankajpunia it will be a great blunder this will motivate more anti hindus to comm
835,2020-05-20,00:37:00,['#bjp'],[],"['bjp', 'government', 'india', 'nothing', 'migrant', 'labour', '.', 'oppostion', 'party', 'leader', 'trying']","['bjp', 'government', 'india', 'nothing', 'migrant', 'labour', '.', 'oppostion', 'party', 'leader', 'trying']",bjp government in india is doing nothing for migrant labour   so when  oppostion party leader is trying to do so
836,2020-05-20,00:27:00,"['#bjp', '#congress']",[],"['congress', 'lies', 'exposed', '!', 'state', 'governments', 'claimed', 'bjp', 'congress', 'left', 'right', 'buses', 'evacuated', 'migrants', '!']","['congress', 'lies', 'exposed', '!', 'state', 'governments', 'claimed', 'bjp', 'congress', 'left', 'right', 'buses', 'evacuated', 'migrants', '!']",congress lies exposed no state governments has claimed bjp congress left or right buses evacuated the migrants
837,2020-05-20,00:26:00,"['#breaking', '#update\\n#coronavirus', '#coronavirusupdate\\n#indiafightscovid19\\n\\nlook', '#covid19']",['@dextrousninja:'],"['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']","['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']",breaking update coronavirus coronavirusupdate indiafightscovid  look at d figures of covid in india states ru
838,2020-05-20,00:24:00,[],['@priyankagandhi\\xe2\\x80\\xa6'],"['magical', 'family', 'india', 'i.e', '.', 'gandhi', 'family', 'converted', 'buses', 'scooter', 'cars', '.', 'shame', 'u']","['magical', 'family', 'india', 'i.e', '.', 'gandhi', 'family', 'converted', 'buses', 'scooter', 'cars', '.', 'shame', 'u']",the magical family of india ie gandhi family who converted buses into scooter  cars  shame on u
