,Date,Time,hashtags,tagged_usernames,text,Text
455,2020-05-20,06:46:00,"['#bjp', '#congressforindia', '#india', ""#indian's""]","['@firstpost', '@manjultoons']",  bjp congressforindia \nindia and indians are watching you both playing dirty politics.\xe2\x80\xa6,  bjp congressforindia \nindia and indians are watching you both playing dirty politics.\xe2\x80\xa6
456,2020-05-20,06:46:00,[],[],atmanirbhar bharat- geat marketing tools. but reality is we dont care about bharat and bhartwasi. that is the onl\xe2\x80\xa6,atmanirbhar bharat- geat marketing tools. but reality is we dont care about bharat and bhartwasi. that is the onl\xe2\x80\xa6
457,2020-05-20,06:44:00,"['#bjp', '#violating', '#lockdown', '#beed\\n\\n']",[],bjp mlc booked for violating lockdown in beed\n\n,bjp mlc booked for violating lockdown in beed\n\n
458,2020-05-20,06:43:00,['#bjp'],"['@sayanisengupt15:', '@bjp4bengal']",  this is what bjp always do..... ,  this is what bjp always do..... 
459,2020-05-20,06:42:00,[],[],proud moment for india. \n\nour health and family welfare minister dr. harsh vardhan ji is new who chairman. \xf0\x9f\x92\xaa\nindeed\xe2\x80\xa6,proud moment for india. \n\nour health and family welfare minister dr. harsh vardhan ji is new who chairman. \xf0\x9f\x92\xaa\nindeed\xe2\x80\xa6
460,2020-05-20,06:39:00,"['#bjp', '#rss.', '#sociopath\\ninept\\nsexual']",['@garemaj'], bjp terrorist organization rss. \nprivileged\nnarcissist\nsociopath\ninept\nsexual assaulter\nillegal drug us\xe2\x80\xa6, bjp terrorist organization rss. \nprivileged\nnarcissist\nsociopath\ninept\nsexual assaulter\nillegal drug us\xe2\x80\xa6
461,2020-05-20,06:37:00,['#bjp'],['@iycassam:'],  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6,  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6
462,2020-05-20,06:37:00,"['#jumla', ""#\\xe2\\x80\\xa6'""]",['@mohdtariqiqbal1:'],  government to privatise non-strategic psus fm nirmala sitharaman !\n\nreality is for all to see !\nmodi ji\xe2\x80\x99s jumla of \xe2\x80\xa6,  government to privatise non-strategic psus fm nirmala sitharaman !\n\nreality is for all to see !\nmodi ji\xe2\x80\x99s jumla of \xe2\x80\xa6
463,2020-05-20,06:37:00,['#bjp'],"['@sayanisengupt15:', '@bjp4bengal']",  this is what bjp always do..... ,  this is what bjp always do..... 
464,2020-05-20,06:36:00,[],"['@amitshah', '@rahulgandhi', '@pmoindia', '@cmohry', '@dc_faridabad', '@smartcityfbad', '@anjanaomkashyap\\xe2\\x80\\xa6']",who is answerable?       \xe2\x80\xa6,who is answerable?       \xe2\x80\xa6
465,2020-05-20,06:36:00,['#bjp'],['@iycassam:'],  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6,  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6
466,2020-05-20,06:35:00,['#bjp'],"[""@ndtv/@nidhi\\nhttps://t.co/gvfqzebgjf'""]",you find miracles in reality rarely\n\xf0\x9f\xa4\x94\nbjp finds helping hand of /\nhttps//t.co/gvfqzebgjf,you find miracles in reality rarely\n\xf0\x9f\xa4\x94\nbjp finds helping hand of /\nhttps//t.co/gvfqzebgjf
467,2020-05-20,06:35:00,['#fekumodi\\n#bjp\\n#india\\nmadhya'],[],secular india! \nfekumodi\nbjp\nindia\nmadhya pradesh police apologise for beating lawyer we thought you were musl\xe2\x80\xa6,secular india! \nfekumodi\nbjp\nindia\nmadhya pradesh police apologise for beating lawyer we thought you were musl\xe2\x80\xa6
468,2020-05-20,06:33:00,['#bjp'],"['@clauderakisits:', '@pmoindia']",  absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.,  absolutely!  and his bjp don\xe2\x80\x99t even pretend not to be anti-muslim.
469,2020-05-20,06:32:00,['#bjp'],['@iycassam:'],  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6,  very soon bjp it cell \xe0\xa4\xad\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\x8a \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb5\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe paid media channels &amp; bjp leader will publish that we r much better then another coun\xe2\x80\xa6
