,Unnamed: 0,Date,Time,hashtags,tagged_usernames,text,Text,tokens
1239,1239,2020-05-20,11:44:00,"['#coronainfoch', '#corona']","['@baschiduerr', '@unispitalbasel']",coronainfoch corona rr  and  secretary general burkhard frey&amp;hellip; https//t.co/qd3jsisu6s,"['coronainfoch', 'corona', 'rr', 'secretary', 'general', 'burkhard', 'frey', '&', 'amp', ';', 'hellip', ';', 'https//t.co/qd3jsisu6s']","['coronainfoch', 'corona', 'rr', 'secretary', 'general', 'burkhard', 'frey', '&', 'amp', ';', 'hellip', ';', 'https//t.co/qd3jsisu6s']"
1240,1240,2020-05-20,11:44:00,"['#coronainfoch', '#corona', '#krsg']",[],coronainfoch corona the krsg approves the law on the granting&amp;hellip; https//t.co/q60u9uktfh,"['coronainfoch', 'corona', 'krsg', 'approves', 'law', 'granting', '&', 'amp', ';', 'hellip', ';', 'https//t.co/q60u9uktfh']","['coronainfoch', 'corona', 'krsg', 'approves', 'law', 'granting', '&', 'amp', ';', 'hellip', ';', 'https//t.co/q60u9uktfh']"
1241,1241,2020-05-20,11:44:00,"['#coronainfoch', '#corona', '#coronainfoch']",[],coronainfoch corona coronainfoch starting tomorrow may 21 new infoline operating&amp;hellip; https//t.co/gdll4qvbqk,"['coronainfoch', 'corona', 'coronainfoch', 'starting', 'tomorrow', 'may', '21', 'new', 'infoline', 'operating', '&', 'amp', ';', 'hellip', ';', 'https//t.co/gdll4qvbqk']","['coronainfoch', 'corona', 'coronainfoch', 'starting', 'tomorrow', 'may', '21', 'new', 'infoline', 'operating', '&', 'amp', ';', 'hellip', ';', 'https//t.co/gdll4qvbqk']"
1242,1242,2020-05-20,11:44:00,"['#coronainfoch', '#corona', '#covid19:']",[],coronainfoch corona health effects covid19 in weeks 18 and 19&amp;hellip; https//t.co/79hkplcuhp,"['coronainfoch', 'corona', 'health', 'effects', 'covid19', 'weeks', '18', '19', '&', 'amp', ';', 'hellip', ';', 'https//t.co/79hkplcuhp']","['coronainfoch', 'corona', 'health', 'effects', 'covid19', 'weeks', '18', '19', '&', 'amp', ';', 'hellip', ';', 'https//t.co/79hkplcuhp']"
1243,1243,2020-05-20,11:44:00,"['#coronainfoch', '#corona', '#coronainfoch', '#coronavirus', '#covid1920.05']",[],coronainfoch corona coronainfoch coronavirus covid1920.05 the current status is 30658&amp;hellip; https//t.co/errahhooia,"['coronainfoch', 'corona', 'coronainfoch', 'coronavirus', 'covid1920.05', 'current', 'status', '30658', '&', 'amp', ';', 'hellip', ';', 'https//t.co/errahhooia']","['coronainfoch', 'corona', 'coronainfoch', 'coronavirus', 'covid1920.05', 'current', 'status', '30658', '&', 'amp', ';', 'hellip', ';', 'https//t.co/errahhooia']"
1244,1244,2020-05-20,11:44:00,"['#coalwarriors', '#coronawarriors']",['@teamwcl:'],wcl women coalwarriors emerged as true coronawarriors fulfilling responsibilities for their family and nation. meet the wome,"['wcl', 'women', 'coalwarriors', 'emerged', 'true', 'coronawarriors', 'fulfilling', 'responsibilities', 'family', 'nation', '.', 'meet', 'wome']","['wcl', 'women', 'coalwarriors', 'emerged', 'true', 'coronawarriors', 'fulfilling', 'responsibilities', 'family', 'nation', '.', 'meet', 'wome']"
1245,1245,2020-05-20,11:44:00,[],['@foodfood\\xe2\\x80\\xa6'],home made hummus and pita bread...click on below link for hummus recipe https//t.co/fi5l0mwya5,"['home', 'made', 'hummus', 'pita', 'bread', '...', 'click', 'link', 'hummus', 'recipe', 'https//t.co/fi5l0mwya5']","['home', 'made', 'hummus', 'pita', 'bread', '...', 'click', 'link', 'hummus', 'recipe', 'https//t.co/fi5l0mwya5']"
1246,1246,2020-05-20,11:44:00,['#borisjohnson'],"['@teachersunionuk', '@tuceconomics', '@borisjohnson', '@gmb_union']",borisjohnson   should  further trash the economy  rather than,"['borisjohnson', 'trash', 'economy', 'rather']","['borisjohnson', 'trash', 'economy', 'rather']"
1247,1247,2020-05-20,11:44:00,['#corona'],['@mianfaisal135:'],the voice u hear on all cellular networks. corona,"['voice', 'u', 'hear', 'cellular', 'networks', '.', 'corona']","['voice', 'u', 'hear', 'cellular', 'networks', '.', 'corona']"
1248,1248,2020-05-20,11:44:00,[],"['@uncanny_spirit:', '@sanjaybragta']",nepal would face the fate like tibet. communists neither care about their people nor about the country. i,"['nepal', 'would', 'face', 'fate', 'like', 'tibet', '.', 'communists', 'neither', 'care', 'people', 'country', '.']","['nepal', 'would', 'face', 'fate', 'like', 'tibet', '.', 'communists', 'neither', 'care', 'people', 'country', '.']"
1249,1249,2020-05-20,11:44:00,[],['@jerryhicksunite:'],is it just me or does anyone else think the timing of captain toms knighthood is blatantly being used as a distractio,"['anyone', 'else', 'think', 'timing', 'captain', 'toms', 'knighthood', 'blatantly', 'used', 'distractio']","['anyone', 'else', 'think', 'timing', 'captain', 'toms', 'knighthood', 'blatantly', 'used', 'distractio']"
1250,1250,2020-05-20,11:44:00,"['#vocalforlocal!', '#localkeliyevocal']",[],going vocalforlocal! awesome mishraji! spread the word! localkeliyevocal this is a feature that helps our merchan,"['going', 'vocalforlocal', '!', 'awesome', 'mishraji', '!', 'spread', 'word', '!', 'localkeliyevocal', 'feature', 'helps', 'merchan']","['going', 'vocalforlocal', '!', 'awesome', 'mishraji', '!', 'spread', 'word', '!', 'localkeliyevocal', 'feature', 'helps', 'merchan']"
1251,1251,2020-05-20,11:44:00,['#gohungergo'],"['@seethakkamla:', '@incindia', '@mahilacongress', '@chhattisgarhpmc', ""@r\\xe2\\x80\\xa6'""]",56th day of gohungergo  serving kids are my happiest moments in my journey,"['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']","['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']"
1252,1252,2020-05-20,11:44:00,['#corona'],[],corona musings....,"['corona', 'musings', '...', '.']","['corona', 'musings', '...', '.']"
1253,1253,2020-05-20,11:44:00,"['#corona', ""#covid19pandemic'""]",[],i thought to not spread the virus it was only 14 days of isolation? well here we are 2 months later .....thoughts?  corona covid19pandemic,"['thought', 'spread', 'virus', '14', 'days', 'isolation', '?', 'well', '2', 'months', 'later', '...', '..thoughts', '?', 'corona', 'covid19pandemic']","['thought', 'spread', 'virus', '14', 'days', 'isolation', '?', 'well', '2', 'months', 'later', '...', '..thoughts', '?', 'corona', 'covid19pandemic']"
1254,1254,2020-05-20,11:44:00,"['#pti', '#corona']",['@majid_agha:'],mrs shaheen raza pti mpa from punjab has passed away. she was fighting battle for her life with corona in lahore. may all,"['mrs', 'shaheen', 'raza', 'pti', 'mpa', 'punjab', 'passed', 'away', '.', 'fighting', 'battle', 'life', 'corona', 'lahore', '.', 'may']","['mrs', 'shaheen', 'raza', 'pti', 'mpa', 'punjab', 'passed', 'away', '.', 'fighting', 'battle', 'life', 'corona', 'lahore', '.', 'may']"
1255,1255,2020-05-20,11:44:00,[],[],i request our govt. to manufacture phones &amp; other electronic items in india asap bcoz to bann tik tok only is not j,"['request', 'govt', '.', 'manufacture', 'phones', '&', 'amp', ';', 'electronic', 'items', 'india', 'asap', 'bcoz', 'bann', 'tik', 'tok', 'j']","['request', 'govt', '.', 'manufacture', 'phones', '&', 'amp', ';', 'electronic', 'items', 'india', 'asap', 'bcoz', 'bann', 'tik', 'tok', 'j']"
1256,1256,2020-05-20,11:44:00,['#corona'],['@mianfaisal135:'],the voice u hear on all cellular networks. corona,"['voice', 'u', 'hear', 'cellular', 'networks', '.', 'corona']","['voice', 'u', 'hear', 'cellular', 'networks', '.', 'corona']"
1257,1257,2020-05-20,11:44:00,['#corona'],['@kthopkins:'],not a single medical professional has broken ranks to expose the truth  the corona was never the virus that was predicted.,"['single', 'medical', 'professional', 'broken', 'ranks', 'expose', 'truth', 'corona', 'never', 'virus', 'predicted', '.']","['single', 'medical', 'professional', 'broken', 'ranks', 'expose', 'truth', 'corona', 'never', 'virus', 'predicted', '.']"
1258,1258,2020-05-20,11:44:00,[],[],agree.....first time in indian history ...  thank you all from the bottom of our heart for your hard work and effor,"['agree', '...', '..first', 'time', 'indian', 'history', '...', 'thank', 'bottom', 'heart', 'hard', 'work', 'effor']","['agree', '...', '..first', 'time', 'indian', 'history', '...', 'thank', 'bottom', 'heart', 'hard', 'work', 'effor']"
1259,1259,2020-05-20,11:43:00,"['#aliens', '#cycloneamphan', '#corona', '#tiktokbanindia']",[],nobody literally nobody 2020 to-do list..... aliens cycloneamphan corona tiktokbanindia,"['nobody', 'literally', 'nobody', '2020', 'to-do', 'list', '...', '..', 'aliens', 'cycloneamphan', 'corona', 'tiktokbanindia']","['nobody', 'literally', 'nobody', '2020', 'to-do', 'list', '...', '..', 'aliens', 'cycloneamphan', 'corona', 'tiktokbanindia']"
1260,1260,2020-05-20,11:43:00,"['#german', '#corona', '#antivaccination""']","['@afd', '@billgates.\\n#corona']",the german far-right  has a bee in its bonnet and its strangely called . corona antivaccination,"['german', 'far-right', 'bee', 'bonnet', 'strangely', 'called', '.', 'corona', 'antivaccination']","['german', 'far-right', 'bee', 'bonnet', 'strangely', 'called', '.', 'corona', 'antivaccination']"
1261,1261,2020-05-20,11:43:00,['#gohungergo'],"['@seethakkamla:', '@incindia', '@mahilacongress', '@chhattisgarhpmc', ""@r\\xe2\\x80\\xa6'""]",56th day of gohungergo  serving kids are my happiest moments in my journey,"['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']","['56th', 'day', 'gohungergo', 'serving', 'kids', 'happiest', 'moments', 'journey']"
1262,1262,2020-05-20,11:43:00,[],['@carencompliance:'],join our webinar on 23rd may with industry experts for insights on how to co-exist with the pandemic. click here to r,"['join', 'webinar', '23rd', 'may', 'industry', 'experts', 'insights', 'co-exist', 'pandemic', '.', 'click', 'r']","['join', 'webinar', '23rd', 'may', 'industry', 'experts', 'insights', 'co-exist', 'pandemic', '.', 'click', 'r']"
1263,1263,2020-05-20,11:43:00,['#heroesofjeena'],[],bringing you another heart-warming story in the heroesofjeena segment.,"['bringing', 'another', 'heart-warming', 'story', 'heroesofjeena', 'segment', '.']","['bringing', 'another', 'heart-warming', 'story', 'heroesofjeena', 'segment', '.']"
1264,1264,2020-05-20,11:43:00,"['#coronainfoch', '#corona', '#coronainfoch\\xf0\\x9f\\x87\\xa8\\xf0\\x9f\\x87\\xad\\xf0\\x9f\\x9a\\xa6']",[],coronainfoch corona coronainfoch the conditions for entering and staying in&amp;hellip; https//t.co/j0d3xh0kgp,"['coronainfoch', 'corona', 'coronainfoch', 'conditions', 'entering', 'staying', '&', 'amp', ';', 'hellip', ';', 'https//t.co/j0d3xh0kgp']","['coronainfoch', 'corona', 'coronainfoch', 'conditions', 'entering', 'staying', '&', 'amp', ';', 'hellip', ';', 'https//t.co/j0d3xh0kgp']"
1265,1265,2020-05-20,11:43:00,['#corona'],['@ashokgehlot51:'],the committee of expert doctors has advised not to fear from corona and take proper treatment in case of any kind of a,"['committee', 'expert', 'doctors', 'advised', 'fear', 'corona', 'take', 'proper', 'treatment', 'case', 'kind']","['committee', 'expert', 'doctors', 'advised', 'fear', 'corona', 'take', 'proper', 'treatment', 'case', 'kind']"
1266,1266,2020-05-20,11:43:00,"['#coalwarriors', '#coronawarriors']",['@teamwcl:'],wcl women coalwarriors emerged as true coronawarriors fulfilling responsibilities for their family and nation. meet the wome,"['wcl', 'women', 'coalwarriors', 'emerged', 'true', 'coronawarriors', 'fulfilling', 'responsibilities', 'family', 'nation', '.', 'meet', 'wome']","['wcl', 'women', 'coalwarriors', 'emerged', 'true', 'coronawarriors', 'fulfilling', 'responsibilities', 'family', 'nation', '.', 'meet', 'wome']"
1267,1267,2020-05-20,11:43:00,"['#neverbethesame', '#trumpdeathtoll92k', '#usa', '#corona', '#who']",[],he is on his word never blame yourself neverbethesame trumpdeathtoll92k usa corona who,"['word', 'never', 'blame', 'neverbethesame', 'trumpdeathtoll92k', 'usa', 'corona']","['word', 'never', 'blame', 'neverbethesame', 'trumpdeathtoll92k', 'usa', 'corona']"
1268,1268,2020-05-20,11:43:00,"['#corona', '#virus', '#meat.']",['@vegan_raven:'],can you catch corona virus from eating meat. it seems people say no. so how did we catch the virus in the first place.,"['catch', 'corona', 'virus', 'eating', 'meat', '.', 'seems', 'people', 'say', '.', 'catch', 'virus', 'first', 'place', '.']","['catch', 'corona', 'virus', 'eating', 'meat', '.', 'seems', 'people', 'say', '.', 'catch', 'virus', 'first', 'place', '.']"
1269,1269,2020-05-20,11:43:00,['#covid19.'],"['@bonifacemwangi', '@knbtsofficial', '@statehousekenya', '@teamcourageke']",its because they threat kenyans on this covid19. no,"['threat', 'kenyans', 'covid19', '.']","['threat', 'kenyans', 'covid19', '.']"
1270,1270,2020-05-20,11:43:00,"['#corona', '#badgeofhonor,']",[],covid-19 updates for the us  1.5 million corona cases 91k deaths  this isnt a badgeofhonor it is sad because ev,"['covid-19', 'updates', 'us', '1.5', 'million', 'corona', 'cases', '91k', 'deaths', 'isnt', 'badgeofhonor', 'sad', 'ev']","['covid-19', 'updates', 'us', '1.5', 'million', 'corona', 'cases', '91k', 'deaths', 'isnt', 'badgeofhonor', 'sad', 'ev']"
